num_layers,alpha,lr,accuracy,mse,best_mse
2,0.5,1e-08,0.0782,0.1147953010559082,0.1147953010559082
2,0.5,1e-07,0.0767,0.11091864929199219,0.11091864929199219
2,0.5,1e-06,0.1125,0.10197218608856201,0.10197218608856201
2,0.5,1e-05,0.536,0.06612064685821534,0.06612064685821534
2,0.5,0.0001,0.7812,0.03057517213821411,0.03057517213821411
2,0.5,0.001,0.8064,0.02671191930770874,0.02671191930770874
2,0.5,0.01,0.7948,0.029255695629119872,0.029255695629119872
2,0.5,0.1,0.7115,0.03946429843902588,0.03946429843902588
2,0.5,1.0,0.6928,0.05817706928253174,0.05817706928253174
2,0.5,10.0,0.6506,0.06986873645782471,0.06986873645782471
4,0.5,1e-08,0.107,0.10071827507019043,0.10071827507019043
4,0.5,1e-07,0.1043,0.11047042541503906,0.11047042541503906
4,0.5,1e-06,0.1542,0.09179138679504395,0.09179138679504395
4,0.5,1e-05,0.525,0.06961982307434082,0.06961982307434082
4,0.5,0.0001,0.7858,0.030071496868133544,0.030071496868133544
4,0.5,0.001,0.8108,0.026385770654678346,0.026385770654678346
4,0.5,0.01,0.7837,0.030113154125213624,0.030113154125213624
4,0.5,0.1,0.707,0.04036716651916504,0.04036716651916504
4,0.5,1.0,0.6432,0.0673753228187561,0.0673753228187561
4,0.5,10.0,0.6032,0.07928535804748535,0.07928535804748535
8,0.5,1e-08,0.1288,0.10292468147277832,0.10292468147277832
8,0.5,1e-07,0.1062,0.10331188735961915,0.10331188735961915
8,0.5,1e-06,0.0609,0.10317708244323731,0.10317708244323731
8,0.5,1e-05,0.5193,0.07152430572509766,0.07152430572509766
8,0.5,0.0001,0.7788,0.030752993965148925,0.030752993965148925
8,0.5,0.001,0.7824,0.02950261607170105,0.02950261607170105
8,0.5,0.01,0.7897,0.029654431629180907,0.029654431629180907
8,0.5,0.1,0.6985,0.04078248176574707,0.04078248176574707
8,0.5,1.0,0.696,0.047074665260314945,0.047074665260314945
8,0.5,10.0,0.4381,0.11235262622833252,0.11235262622833252
16,0.5,1e-08,0.1229,0.1050406810760498,0.1050406810760498
16,0.5,1e-07,0.2119,0.09264445648193359,0.09264445648193359
16,0.5,1e-06,0.0558,0.09788702888488769,0.09788702888488769
16,0.5,1e-05,0.4368,0.07381986446380616,0.07381986446380616
16,0.5,0.0001,0.7632,0.032851037788391116,0.032851037788391116
16,0.5,0.001,0.7902,0.0292125599861145,0.028761180591583252
16,0.5,0.01,0.7743,0.030864412021636964,0.030864412021636964
16,0.5,0.1,0.6901,0.04168425846099853,0.04168425846099853
16,0.5,1.0,0.5217,0.08207782344818115,0.08207782344818115
16,0.5,10.0,0.5141,0.09684125690460205,0.09684125690460205
32,0.5,1e-08,0.1279,0.10106528930664062,0.10106528930664062
32,0.5,1e-07,0.0733,0.11215830974578857,0.11215830974578857
32,0.5,1e-06,0.1352,0.09751890754699707,0.09751890754699707
32,0.5,1e-05,0.362,0.08020681037902833,0.08020681037902833
32,0.5,0.0001,0.7683,0.032189205169677736,0.032189205169677736
32,0.5,0.001,0.8006,0.028032518959045412,0.028032518959045412
32,0.5,0.01,0.7288,0.03572364311218262,0.03572364311218262
32,0.5,0.1,0.6953,0.04589013366699219,0.04589013366699219
32,0.5,1.0,0.2524,0.1453914665222168,0.1453914665222168
32,0.5,10.0,0.353,0.12907702255249023,0.12907702255249023
64,0.5,1e-08,0.0811,0.10163215179443359,0.10163215179443359
64,0.5,1e-07,0.0369,0.10516447296142578,0.10516447296142578
64,0.5,1e-06,0.1332,0.09943974227905274,0.09943974227905274
64,0.5,1e-05,0.4196,0.07538753662109375,0.07538753662109375
64,0.5,0.0001,0.7735,0.03154041600227356,0.03154041600227356
64,0.5,0.001,0.7884,0.02959811477661133,0.02959811477661133
64,0.5,0.01,0.7536,0.03367904214859009,0.03367904214859009
64,0.5,0.1,0.6467,0.04822219285964966,0.04822219285964966
64,0.5,1.0,0.3059,0.12051829280853271,0.12051829280853271
64,0.5,10.0,0.3685,0.12612086448669432,0.12612086448669432
128,0.5,1e-08,0.1098,0.12000423278808593,0.12000423278808593
128,0.5,1e-07,0.1099,0.09687062721252442,0.09687062721252442
128,0.5,1e-06,0.1175,0.10034512500762939,0.10034512500762939
128,0.5,1e-05,0.3172,0.0806721321105957,0.0806721321105957
128,0.5,0.0001,0.76,0.0332929160118103,0.0332929160118103
128,0.5,0.001,0.7724,0.03248061180114746,0.0320689591884613
128,0.5,0.01,0.7083,0.03785863342285156,0.03785863342285156
128,0.5,0.1,0.6032,0.05151644992828369,0.05151644992828369
128,0.5,1.0,0.3047,0.10213891124725341,0.10213891124725341
128,0.5,10.0,0.1022,0.17940923690795899,0.1610859848022461
